usd_vnd_rate,fed_rate,cpi_inflation_yoy,dxy_index,interest_rate_state,interest_rate_market,price_change_pct,volatility_index,news_volume,sentiment_score,daily_return_pct,world_return_pct,premium_pct,spread_margin_pct,gold_code_BT9999NTT,gold_code_BTSJC,gold_code_DOHCML,gold_code_DOHNL,gold_code_DOJINHTV,gold_code_PQHN24NTT,gold_code_PQHNVM,gold_code_SJ9999,gold_code_SJL1L10,gold_code_VIETTINMSJC,gold_code_VNGSJC
0.35022047273082096,0.0,-0.46625240412015945,0.5579326824810373,-8.881784197001252e-16,0.0,0.042330437067607606,-1.6588661857221565,-0.17966575129533666,0.31580676135604896,0.49386447190729715,0.0,-0.5608275195606912,0.3761198221723217,1,0,0,0,0,0,0,0,0,0,0
0.35022047273082096,0.0,-0.46625240412015945,0.5579326824810373,-8.881784197001252e-16,0.0,0.042330437067607606,-1.6588661857221565,-0.17966575129533666,0.31580676135604896,0.49386447190729715,0.0,-0.5608275195606912,-4.073605320305477,0,1,0,0,0,0,0,0,0,0,0
0.35022047273082096,0.0,-0.46625240412015945,0.5579326824810373,-8.881784197001252e-16,0.0,0.042330437067607606,-1.6588661857221565,-0.17966575129533666,0.31580676135604896,0.6220273685787853,0.0,-0.4377619196570912,-4.098600134136959,0,0,1,0,0,0,0,0,0,0,0
0.35022047273082096,0.0,-0.46625240412015945,0.5579326824810373,-8.881784197001252e-16,0.0,0.042330437067607606,-1.6588661857221565,-0.17966575129533666,0.31580676135604896,0.6220273685787853,0.0,-0.4377619196570912,-4.098600134136959,0,0,0,1,0,0,0,0,0,0,0
0.35022047273082096,0.0,-0.46625240412015945,0.5579326824810373,-8.881784197001252e-16,0.0,0.042330437067607606,-1.6588661857221565,-0.17966575129533666,0.31580676135604896,0.7047035493217707,0.0,-0.6838931194642913,0.4142640706795344,0,0,0,0,1,0,0,0,0,0,0
0.35022047273082096,0.0,-0.46625240412015945,0.5579326824810373,-8.881784197001252e-16,0.0,0.042330437067607606,-1.6588661857221565,-0.17966575129533666,0.31580676135604896,0.7024708236077455,0.0,-0.5608275195606912,0.3761198221723217,0,0,0,0,0,1,0,0,0,0,0
0.35022047273082096,0.0,-0.46625240412015945,0.5579326824810373,-8.881784197001252e-16,0.0,0.042330437067607606,-1.6588661857221565,-0.17966575129533666,0.31580676135604896,0.6220273685787853,0.0,-0.4377619196570912,-1.8865591100508081,0,0,0,0,0,0,1,0,0,0,0
0.35022047273082096,0.0,-0.46625240412015945,0.5579326824810373,-8.881784197001252e-16,0.0,0.042330437067607606,-1.6588661857221565,-0.17966575129533666,0.31580676135604896,0.7047035493217707,0.0,-0.6838931194642913,-1.8235318417437578,0,0,0,0,0,0,0,1,0,0,0
0.35022047273082096,0.0,-0.46625240412015945,0.5579326824810373,-8.881784197001252e-16,0.0,0.042330437067607606,-1.6588661857221565,-0.17966575129533666,0.31580676135604896,0.6220273685787853,0.0,-0.4377619196570912,-4.098600134136959,0,0,0,0,0,0,0,0,1,0,0
0.35022047273082096,0.0,-0.46625240412015945,0.5579326824810373,-8.881784197001252e-16,0.0,0.042330437067607606,-1.6588661857221565,-0.17966575129533666,0.31580676135604896,1.175315971282509,0.0,-0.4377619196570912,-4.098600134136959,0,0,0,0,0,0,0,0,0,1,0
0.35022047273082096,0.0,-0.46625240412015945,0.5579326824810373,-8.881784197001252e-16,0.0,0.042330437067607606,-1.6588661857221565,-0.17966575129533666,0.31580676135604896,0.6220273685787853,0.0,-0.4377619196570912,-4.098600134136959,0,0,0,0,0,0,0,0,0,0,1
0.35022047273082096,0.0,-0.46625240412015945,0.5579326824810373,-8.881784197001252e-16,0.0,0.15393592021273075,-2.681714752308598,-0.17966575129533666,0.31580676135604896,0.13245236464762444,0.0,-0.36392255971493137,0.315544216969811,1,0,0,0,0,0,0,0,0,0,0
0.35022047273082096,0.0,-0.46625240412015945,0.5579326824810373,-8.881784197001252e-16,0.0,0.042330437067607606,-2.681714752308598,-0.17966575129533666,0.31580676135604896,0.13245236464762444,0.0,-0.36392255971493137,-4.113528582557701,0,1,0,0,0,0,0,0,0,0,0
0.35022047273082096,0.0,-0.46625240412015945,0.5579326824810373,-8.881784197001252e-16,0.0,0.15393592021273075,-2.681714752308598,-0.17966575129533666,0.31580676135604896,0.0056724482132391235,0.0,-0.36392255971493137,-4.113528582557701,0,0,1,0,0,0,0,0,0,0,0
0.35022047273082096,0.0,-0.46625240412015945,0.5579326824810373,-8.881784197001252e-16,0.0,0.15393592021273075,-2.681714752308598,-0.17966575129533666,0.31580676135604896,0.0056724482132391235,0.0,-0.36392255971493137,-4.113528582557701,0,0,0,1,0,0,0,0,0,0,0
0.35022047273082096,0.0,-0.46625240412015945,0.5579326824810373,-8.881784197001252e-16,0.0,0.042330437067607606,-2.681714752308598,-0.17966575129533666,0.31580676135604896,-0.07005227344723873,0.0,-0.6838931194642913,0.4142640706795344,0,0,0,0,1,0,0,0,0,0,0
