gold_code,timestamp,usd_vnd_rate,fed_rate,cpi_inflation_yoy,dxy_index,interest_rate_state,interest_rate_market,price_change_pct,volatility_index,news_volume,sentiment_score,daily_return_pct,world_return_pct,premium_pct,spread_margin_pct,target_next_day_trend
BT9999NTT,2026-01-26,-0.24112762502888624,0.0,-0.4082482904638671,0.4225287413527107,-8.881784197001252e-16,0.0,-0.28499752269692,-1.8070024229941115,-0.20318637224968383,0.27969046524854985,0.503506555603736,-0.22425453935107484,-0.7658681368097057,0.4719533965068208,1
BT9999NTT,2026-01-27,-0.24112762502888624,0.0,-0.4082482904638671,0.4225287413527107,-8.881784197001252e-16,0.0,-0.20779846209369865,-2.945166108053928,-0.20318637224968383,0.27969046524854985,0.1104912027580286,-0.22425453935107484,-0.5662850935059287,0.40468514925756344,1
BT9999NTT,2026-01-28,-0.24112762502888624,0.0,-0.4082482904638671,0.4225287413527107,-8.881784197001252e-16,0.0,-0.16147902573176584,-2.840045811846864,-0.20318637224968383,0.27969046524854985,1.4522126381963454,-0.22425453935107484,0.8557440900334814,-0.057293552944866676,1
BT9999NTT,2026-01-29,-0.24112762502888624,0.0,-0.4082482904638671,0.4225287413527107,-8.881784197001252e-16,0.0,1.228104065126219,-2.1141481184186035,-0.20318637224968383,0.27969046524854985,1.9610877207826853,-0.22425453935107484,2.8016787622453068,-0.6440305863625533,0
BT9999NTT,2026-01-30,-0.24112762502888624,0.0,-0.4082482904638671,0.4225287413527107,-8.881784197001252e-16,0.0,-0.37543070797497935,-0.17148930361134843,-0.20318637224968383,0.27969046524854985,-2.6051444840184015,-0.22425453935107484,0.3567864817740395,0.10143478885265592,0
BT9999NTT,2026-01-31,-0.24112762502888624,0.0,-0.4082482904638671,0.4225287413527107,-8.881784197001252e-16,0.0,-2.5960065440404967,0.5511324209059151,-0.20318637224968383,0.27969046524854985,-2.5255182818740756,-0.22425453935107484,-1.8885227553934505,0.8622037643319139,0
BT9999NTT,2026-02-01,-0.24112762502888624,0.0,-0.4082482904638671,0.4225287413527107,-8.881784197001252e-16,0.0,-1.3222220440873442,0.7590786156869094,-0.20318637224968383,0.27969046524854985,-0.10972120904300106,-0.22425453935107484,-1.8885227553934505,0.8622037643319139,0
BT9999NTT,2026-02-02,-0.24112762502888624,0.0,-0.4082482904638671,0.4225287413527107,-8.881784197001252e-16,0.0,-0.6048222023388371,1.062593792465357,-0.20318637224968383,0.27969046524854985,-1.3808237386430748,-0.22425453935107484,-3.011177373977195,1.2738052161109639,1
BT9999NTT,2026-02-03,-0.24112762502888624,0.0,-0.4082482904638671,0.4225287413527107,-8.881784197001252e-16,0.0,-0.7967170101239873,1.2593785664837962,-0.20318637224968383,0.27969046524854985,2.5007818965237187,-0.22425453935107484,-0.7658681368097057,0.4719533965068208,1
BT9999NTT,2026-02-04,-0.24112762502888624,0.0,-0.4082482904638671,0.4225287413527107,-8.881784197001252e-16,0.0,0.5873518621194814,1.24742176351202,-0.20318637224968383,0.27969046524854985,0.9087611955367706,-0.22425453935107484,0.15720343847026258,0.16592937468460894,0
BT9999NTT,2026-02-05,-0.24112762502888624,0.0,-0.4082482904638671,0.4225287413527107,-8.881784197001252e-16,0.0,0.13849446689789432,1.0873883064911247,-0.20318637224968383,0.27969046524854985,-0.9185618864059752,-0.22425453935107484,-0.5912329739189006,0.41305989157798984,0
BT9999NTT,2026-02-06,-0.24112762502888624,0.0,-0.4082482904638671,0.4225287413527107,-8.881784197001252e-16,0.0,-1.3707471678950836,0.9139049178111283,-0.20318637224968383,0.27969046524854985,-0.3016458949770975,-0.22425453935107484,-0.7658681368097057,0.4719533965068208,1
BT9999NTT,2026-02-07,-0.24112762502888624,0.0,-0.4082482904638671,0.4225287413527107,-8.881784197001252e-16,0.0,0.2107307307480514,0.821655887056605,-0.20318637224968383,0.27969046524854985,0.6610222322606082,-0.22425453935107484,-0.06732748524648687,0.2391854201346833,0
BT9999NTT,2026-02-08,-0.47715338783654787,0.0,2.449489742783174,0.4225287413527107,-8.881784197001252e-16,0.0,0.3311833221635349,0.7240084430155992,-0.20318637224968383,-0.05619376816206055,-0.10972120904300106,-0.22425453935107484,-0.06732748524648687,0.2391854201346833,1
BT9999NTT,2026-02-09,-0.5207389759844137,0.0,2.449489742783174,-1.8368263339358482,-8.881784197001252e-16,0.0,-0.28499752269692,0.6033772484870193,-0.20318637224968383,-2.7501051589615426,0.052858924878702654,-0.22425453935107484,0.08235979723134634,0.19026523451661773,1
BT9999NTT,2026-02-10,-1.1966926302362222,0.0,2.449489742783174,-2.373308203916166,-8.881784197001252e-16,0.0,-0.3908705200956236,0.5224024423409832,-0.2643909174536774,-2.8796580858573306,0.07932300634066651,-0.22425453935107484,0.2569949601221507,0.13360945273053385,1
BT9999NTT,2026-02-11,-1.826044392662155,0.0,2.449489742783174,-1.34632862423956,-8.881784197001252e-16,0.0,-0.3379340213962718,0.44994039448149575,-0.20318637224968383,-1.0040776860186187,-0.002114645690616929,-0.22425453935107484,0.3567864817740395,0.10143478885265592,0
BT9999NTT,2026-02-12,0.17466983699085364,0.0,2.449489742783174,-1.766317288167017,-8.881784197001252e-16,0.0,-0.21618007438776268,0.37379253017190006,-0.20318637224968383,0.27969046524854985,-0.10972120904300106,-0.22425453935107484,0.3567864817740395,0.10143478885265592,0
BT9999NTT,2026-02-13,-0.37565476907005063,0.0,-0.4082482904638671,-1.3892471738379732,-8.881784197001252e-16,0.0,-0.5373281664971636,0.3073375308579766,-0.20318637224968383,0.27969046524854985,-0.6465650030054608,-0.22425453935107484,-0.1421711264854024,0.26377059296375943,1
BT9999NTT,2026-02-14,0.1277663147971113,0.0,-0.4082482904638671,-1.8889417155910673,-8.881784197001252e-16,0.0,-0.7702487607743116,0.23215361125497583,-0.7124081883469103,0.27969046524854985,0.43312083960060976,-0.22425453935107484,0.3567864817740395,0.10143478885265592,0
BT9999NTT,2026-02-15,-0.21051214269660484,0.0,-0.4082482904638671,-1.8889417155910673,-8.881784197001252e-16,0.0,-0.47909801792787665,0.16595305351561512,-0.48962364380437357,0.27969046524854985,-0.10972120904300106,-0.22425453935107484,0.3567864817740395,0.10143478885265592,0
BT9999NTT,2026-02-16,-1.9605715367033194,0.0,-0.4082482904638671,-1.340197402868327,-8.881784197001252e-16,0.0,-0.28499752269692,0.1129255994425126,-0.20318637224968383,0.27969046524854985,-0.10972120904300106,-0.22425453935107484,0.3567864817740395,0.10143478885265592,0
BT9999NTT,2026-02-17,-0.25243876382158725,0.0,-0.4082482904638671,-0.4695639681574224,-8.881784197001252e-16,0.0,-0.28499752269692,0.061899770363171215,-0.20318637224968383,0.27969046524854985,-0.10972120904300106,-0.22425453935107484,0.3567864817740395,0.10143478885265592,0
BT9999NTT,2026-02-18,-0.536272939926427,0.0,-0.4082482904638671,-0.08636263245718921,-8.881784197001252e-16,0.0,-0.28499752269692,0.012855114072761933,-0.20318637224968383,0.27969046524854985,-0.10972120904300106,-0.22425453935107484,0.3567864817740395,0.10143478885265592,0
BT9999NTT,2026-02-19,-0.21639393486880057,0.0,-0.4082482904638671,1.3084902294916543,-8.881784197001252e-16,0.0,-0.28499752269692,-0.034258692616916,-0.20318637224968383,0.27969046524854985,-0.10972120904300106,-0.22425453935107484,0.3567864817740395,0.10143478885265592,0
