date,buy_price,sell_price
2010-03-13,26370000.0,26450000.0
2010-03-15,26390000.0,26450000.0
2010-03-16,26430000.0,26490000.0
2010-03-17,26570000.0,26630000.0
2010-03-18,26450000.0,26510000.0
2010-03-19,26460000.0,26510000.0
2010-03-20,26340000.0,26400000.0
2010-03-22,26340000.0,26400000.0
2010-03-23,26260000.0,26320000.0
2010-03-24,26050000.0,26100000.0
2010-03-25,25900000.0,25960000.0
2010-03-26,26100000.0,26170000.0
2010-03-27,26240000.0,26300000.0
2010-03-29,26200000.0,26250000.0
2010-03-30,26190000.0,26240000.0
2010-03-31,26080000.0,26130000.0
2010-04-01,26070000.0,26130000.0
2010-04-02,26100000.0,26150000.0
2010-04-03,26100000.0,26160000.0
2010-04-05,26120000.0,26170000.0
2010-04-06,26030000.0,26090000.0
2010-04-07,26090000.0,26150000.0
2010-04-08,26300000.0,26360000.0
2010-04-09,26470000.0,26530000.0
2010-04-10,26510000.0,26570000.0
2010-04-12,26600000.0,26670000.0
2010-04-13,26350000.0,26420000.0
2010-04-14,26430000.0,26490000.0
2010-04-15,26410000.0,26470000.0
2010-04-16,26420000.0,26480000.0
2010-04-17,26270000.0,26330000.0
2010-04-19,26150000.0,26210000.0
2010-04-20,26270000.0,26330000.0
2010-04-21,26300000.0,26360000.0
2010-04-22,26290000.0,26350000.0
2010-04-23,26250000.0,26310000.0
2010-04-24,26380000.0,26450000.0
2010-04-26,26400000.0,26450000.0
2010-04-27,26350000.0,26410000.0
2010-04-28,26450000.0,26500000.0
2010-04-29,26500000.0,26560000.0
2010-05-04,26750000.0,26810000.0
2010-05-05,26640000.0,26690000.0
2010-05-06,26720000.0,26780000.0
2010-05-07,27230000.0,27300000.0
2010-05-08,27300000.0,27400000.0
2010-05-10,27150000.0,27210000.0
2010-05-11,27470000.0,27540000.0
2010-05-12,28100000.0,28200000.0
2010-05-13,28070000.0,28170000.0
2010-05-14,28150000.0,28220000.0
2010-05-15,28050000.0,28150000.0
2010-05-17,28110000.0,28170000.0
2010-05-18,27860000.0,27930000.0
2010-05-19,27700000.0,27770000.0
2010-05-20,27430000.0,27490000.0
2010-05-21,27350000.0,27430000.0
2010-05-22,27300000.0,27370000.0
2010-05-24,27420000.0,27480000.0
2010-05-25,27530000.0,27600000.0
2010-05-26,27900000.0,27970000.0
2010-05-27,27760000.0,27820000.0
2010-05-28,27670000.0,27730000.0
2010-05-29,27680000.0,27740000.0
2010-05-31,27660000.0,27720000.0
2010-06-01,27820000.0,27880000.0
2010-06-02,27820000.0,27880000.0
2010-06-03,27790000.0,27850000.0
2010-06-04,27630000.0,27690000.0
2010-06-05,27750000.0,27820000.0
2010-06-07,27710000.0,27770000.0
2010-06-08,28250000.0,28350000.0
2010-06-09,28110000.0,28170000.0
2010-06-10,27900000.0,27970000.0
2010-06-11,27880000.0,27930000.0
2010-06-12,27950000.0,28010000.0
2010-06-14,28030000.0,28090000.0
2010-06-15,27930000.0,27990000.0
2010-06-16,28100000.0,28160000.0
2010-06-17,28070000.0,28130000.0
2010-06-18,28270000.0,28330000.0
2010-06-19,28450000.0,28520000.0
2010-06-21,28600000.0,28670000.0
2010-06-22,28260000.0,28320000.0
2010-06-23,28390000.0,28450000.0
2010-06-24,28350000.0,28400000.0
2010-06-25,28470000.0,28530000.0
2010-06-26,28600000.0,28660000.0
2010-06-28,28630000.0,28680000.0
2010-06-29,28440000.0,28500000.0
2010-06-30,28550000.0,28600000.0
2010-07-01,28530000.0,28580000.0
2010-07-02,28290000.0,28360000.0
2010-07-03,28300000.0,28350000.0
2010-07-05,28280000.0,28340000.0
2010-07-06,28300000.0,28350000.0
2010-07-07,28120000.0,28180000.0
2010-07-08,28240000.0,28290000.0
2010-07-09,28170000.0,28220000.0
2010-07-10,28270000.0,28330000.0
2010-07-12,28180000.0,28240000.0
2010-07-13,28190000.0,28250000.0
2010-07-14,28200000.0,28260000.0
2010-07-15,28210000.0,28260000.0
2010-07-16,28160000.0,28220000.0
2010-07-17,28060000.0,28130000.0
2010-07-19,28060000.0,28110000.0
2010-07-20,27920000.0,27980000.0
2010-07-21,27990000.0,28040000.0
2010-07-22,27960000.0,28010000.0
2010-07-23,28060000.0,28110000.0
2010-07-24,27980000.0,28040000.0
2010-07-26,27980000.0,28030000.0
2010-07-27,27930000.0,27990000.0
2010-07-28,27670000.0,27720000.0
2010-07-29,27630000.0,27680000.0
2010-07-30,27630000.0,27680000.0
2010-07-31,27710000.0,27770000.0
2010-08-02,27730000.0,27780000.0
2010-08-03,27740000.0,27790000.0
2010-08-04,27920000.0,27970000.0
2010-08-05,27980000.0,28020000.0
2010-08-06,27990000.0,28030000.0
2010-08-07,28100000.0,28150000.0
2010-08-09,28130000.0,28170000.0
2010-08-10,28050000.0,28080000.0
2010-08-11,28020000.0,28060000.0
2010-08-12,28000000.0,28040000.0
2010-08-13,28150000.0,28190000.0
2010-08-14,28130000.0,28170000.0
2010-08-16,28250000.0,28290000.0
2010-08-17,28420000.0,28460000.0
2010-08-18,28520000.0,28560000.0
2010-08-19,28730000.0,28770000.0
2010-08-20,28780000.0,28820000.0
2010-08-21,28700000.0,28750000.0
2010-08-23,28720000.0,28760000.0
2010-08-24,28560000.0,28600000.0
2010-08-25,28870000.0,28910000.0
2010-08-26,28990000.0,29030000.0
2010-08-27,28920000.0,28960000.0
2010-08-28,28940000.0,28980000.0
2010-08-30,28920000.0,28960000.0
2010-08-31,28910000.0,28950000.0
2010-09-01,29200000.0,29240000.0
2010-09-02,29150000.0,29190000.0
2010-09-03,29250000.0,29300000.0
2010-09-04,29200000.0,29240000.0
2010-09-06,29220000.0,29260000.0
2010-09-07,29210000.0,29250000.0
2010-09-08,29450000.0,29490000.0
2010-09-09,29370000.0,29410000.0
2010-09-10,29260000.0,29300000.0
2010-09-11,29250000.0,29290000.0
2010-09-13,29230000.0,29270000.0
2010-09-14,29330000.0,29370000.0
2010-09-15,29720000.0,29760000.0
2010-09-16,29700000.0,29740000.0
2010-09-17,29960000.0,30000000.0
2010-09-18,29860000.0,29900000.0
2010-09-20,30000000.0,30040000.0
2010-09-21,30040000.0,30080000.0
2010-09-22,30250000.0,30290000.0
2010-09-23,30290000.0,30330000.0
2010-09-24,30420000.0,30460000.0
2010-09-25,30420000.0,30460000.0
2010-09-27,30680000.0,30720000.0
2010-09-28,30570000.0,30610000.0
2010-09-29,31150000.0,31200000.0
2010-09-30,31210000.0,31250000.0
2010-10-01,31280000.0,31340000.0
2010-10-02,31430000.0,31480000.0
2010-10-04,31540000.0,31580000.0
2010-10-05,31700000.0,31750000.0
2010-10-06,32700000.0,32800000.0
2010-10-07,32770000.0,32830000.0
2010-10-08,32000000.0,32100000.0
2010-10-09,32320000.0,32420000.0
2010-10-11,32500000.0,32570000.0
2010-10-12,32430000.0,32490000.0
2010-10-13,32660000.0,32720000.0
2010-10-14,33080000.0,33140000.0
2010-10-15,33150000.0,33210000.0
2010-10-16,33100000.0,33150000.0
2010-10-18,33090000.0,33150000.0
2010-10-19,33300000.0,33360000.0
2010-10-20,32920000.0,32970000.0
2010-10-21,33050000.0,33100000.0
2010-10-22,32670000.0,32740000.0
2010-10-23,32770000.0,32830000.0
2010-10-25,32910000.0,32960000.0
2010-10-26,32840000.0,32890000.0
2010-10-27,32830000.0,32880000.0
2010-10-28,32800000.0,32850000.0
2010-10-29,32980000.0,33030000.0
2010-10-30,33350000.0,33400000.0
2010-11-01,33500000.0,33550000.0
2010-11-02,33670000.0,33730000.0
2010-11-03,33750000.0,33800000.0
2010-11-04,34080000.0,34180000.0
2010-11-05,34750000.0,34900000.0
2010-11-06,35100000.0,35200000.0
2010-11-08,35660000.0,35750000.0
2010-11-09,36500000.0,36700000.0
2010-11-10,36400000.0,36550000.0
2010-11-11,36150000.0,36300000.0
2010-11-12,35750000.0,35850000.0
2010-11-13,34900000.0,35100000.0
2010-11-15,34920000.0,35000000.0
2010-11-16,34890000.0,34940000.0
2010-11-17,34370000.0,34440000.0
2010-11-18,35450000.0,35550000.0
2010-11-19,35550000.0,35650000.0
2010-11-20,35450000.0,35550000.0
2010-11-22,35650000.0,35710000.0
2010-11-23,35620000.0,35670000.0
2010-11-24,35850000.0,35950000.0
2010-11-25,35730000.0,35780000.0
2010-11-26,35700000.0,35770000.0
2010-11-27,35670000.0,35710000.0
2010-11-29,35730000.0,35780000.0
2010-11-30,35880000.0,35950000.0
2010-12-01,36250000.0,36330000.0
2010-12-02,36200000.0,36270000.0
2010-12-03,36100000.0,36160000.0
2010-12-04,36400000.0,36500000.0
2010-12-06,36510000.0,36580000.0
2010-12-07,36500000.0,36570000.0
2010-12-08,35840000.0,35920000.0
2010-12-09,35730000.0,35790000.0
2010-12-10,35800000.0,35860000.0
2010-12-11,35770000.0,35840000.0
2010-12-13,36020000.0,36100000.0
2010-12-14,36160000.0,36220000.0
2010-12-15,35860000.0,35940000.0
2010-12-16,35860000.0,35920000.0
2010-12-17,35750000.0,35800000.0
2010-12-18,35820000.0,35900000.0
2010-12-20,35830000.0,35900000.0
2010-12-21,35770000.0,35840000.0
2010-12-22,35790000.0,35850000.0
2010-12-23,35750000.0,35810000.0
2010-12-24,35750000.0,35810000.0
2010-12-25,35780000.0,35850000.0
2010-12-27,35750000.0,35810000.0
2010-12-28,35830000.0,35900000.0
2010-12-29,35960000.0,36020000.0
2010-12-30,36040000.0,36100000.0
2010-12-31,35900000.0,36000000.0
2011-01-04,36080000.0,36140000.0
2011-01-05,35790000.0,35860000.0
2011-01-06,35760000.0,35830000.0
2011-01-07,35400000.0,35450000.0
2011-01-10,35650000.0,35710000.0
2011-01-11,35730000.0,35790000.0
2011-01-12,35780000.0,35840000.0
2011-01-13,35700000.0,35760000.0
2011-01-14,35570000.0,35630000.0
2011-01-15,35530000.0,35600000.0
2011-01-17,35480000.0,35550000.0
2011-01-18,35570000.0,35640000.0
2011-01-19,35600000.0,35660000.0
2011-01-20,35500000.0,35560000.0
2011-01-21,35200000.0,35260000.0
2011-01-22,35200000.0,35260000.0
2011-01-24,35310000.0,35370000.0
2011-01-25,35030000.0,35090000.0
2011-01-26,35110000.0,35180000.0
2011-01-27,35260000.0,35320000.0
2011-01-28,35070000.0,35140000.0
2011-01-29,35340000.0,35400000.0
2011-01-30,35450000.0,35540000.0
2011-02-08,35800000.0,35900000.0
2011-02-09,35870000.0,35930000.0
2011-02-10,35740000.0,35810000.0
2011-02-11,35900000.0,35960000.0
2011-02-12,35910000.0,35980000.0
2011-02-14,36060000.0,36130000.0
2011-02-15,36350000.0,36430000.0
2011-02-16,36670000.0,36750000.0
2011-02-17,36880000.0,36950000.0
2011-02-18,37480000.0,37580000.0
2011-02-19,38000000.0,38200000.0
2011-02-21,37780000.0,37850000.0
2011-02-22,37700000.0,37800000.0
2011-02-23,37550000.0,37610000.0
2011-02-24,37750000.0,37830000.0
2011-02-25,37600000.0,37680000.0
2011-02-26,37640000.0,37710000.0
2011-02-28,37520000.0,37590000.0
2011-03-01,37300000.0,37380000.0
2011-03-02,37600000.0,37700000.0
2011-03-03,37670000.0,37750000.0
2011-03-04,37560000.0,37640000.0
2011-03-05,37660000.0,37740000.0
2011-03-07,37650000.0,37730000.0
2011-03-08,37570000.0,37630000.0
2011-03-09,37470000.0,37550000.0
2011-03-10,37370000.0,37450000.0
2011-03-11,36850000.0,36950000.0
2011-03-12,36950000.0,37050000.0
2011-03-14,37220000.0,37300000.0
2011-03-15,37050000.0,37150000.0
2011-03-16,36880000.0,36950000.0
2011-03-17,36900000.0,36980000.0
2011-03-18,37080000.0,37150000.0
2011-03-19,37070000.0,37140000.0
2011-03-21,37120000.0,37190000.0
2011-03-22,37050000.0,37120000.0
2011-03-23,36970000.0,37050000.0
2011-03-24,36970000.0,37040000.0
2011-03-25,36920000.0,36990000.0
2011-03-26,36920000.0,36990000.0
2011-03-28,36680000.0,36730000.0
2011-03-29,36450000.0,36510000.0
2011-03-30,36550000.0,36620000.0
2011-03-31,36850000.0,36930000.0
2011-04-01,36910000.0,36980000.0
2011-04-02,36820000.0,36890000.0
2011-04-04,36690000.0,36760000.0
2011-04-05,36640000.0,36710000.0
2011-04-06,36850000.0,36920000.0
2011-04-07,36860000.0,36940000.0
2011-04-08,37120000.0,37200000.0
2011-04-09,37250000.0,37330000.0
2011-04-13,36970000.0,37050000.0
2011-04-14,36980000.0,37050000.0
2011-04-15,37120000.0,37190000.0
2011-04-16,37220000.0,37300000.0
2011-04-18,37190000.0,37260000.0
2011-04-19,37300000.0,37370000.0
2011-04-20,37500000.0,37560000.0
2011-04-21,37610000.0,37680000.0
2011-04-22,37520000.0,37580000.0
2011-04-23,37500000.0,37570000.0
2011-04-25,37570000.0,37630000.0
2011-04-26,37420000.0,37480000.0
2011-04-27,37410000.0,37480000.0
2011-04-28,37570000.0,37640000.0
2011-04-29,37720000.0,37790000.0
2011-05-04,37910000.0,37980000.0
2011-05-05,37650000.0,37730000.0
2011-05-06,37300000.0,37380000.0
2011-05-07,37430000.0,37500000.0
2011-05-09,37550000.0,37630000.0
2011-05-10,37560000.0,37640000.0
2011-05-11,37600000.0,37670000.0
2011-05-12,37300000.0,37370000.0
2011-05-13,37450000.0,37520000.0
2011-05-14,37370000.0,37450000.0
2011-05-16,37310000.0,37380000.0
2011-05-17,37340000.0,37410000.0
2011-05-18,37320000.0,37390000.0
2011-05-19,37310000.0,37370000.0
2011-05-20,37350000.0,37430000.0
2011-05-21,37440000.0,37510000.0
2011-05-23,37400000.0,37470000.0
2011-05-24,37490000.0,37550000.0
2011-05-25,37610000.0,37670000.0
2011-05-26,37530000.0,37600000.0
2011-05-27,37540000.0,37610000.0
2011-05-28,37640000.0,37710000.0
2011-05-30,37690000.0,37760000.0
2011-05-31,37800000.0,37870000.0
2011-06-01,37680000.0,37750000.0
2011-06-02,37810000.0,37880000.0
2011-06-03,37710000.0,37780000.0
2011-06-04,37790000.0,37860000.0
2011-06-06,37960000.0,38020000.0
2011-06-07,38000000.0,38070000.0
2011-06-08,37860000.0,37930000.0
2011-06-09,37810000.0,37880000.0
2011-06-10,37950000.0,38010000.0
2011-06-11,37820000.0,37870000.0
2011-06-13,37730000.0,37810000.0
2011-06-14,37680000.0,37740000.0
2011-06-15,37690000.0,37750000.0
2011-06-16,37780000.0,37840000.0
2011-06-17,37850000.0,37910000.0
2011-06-18,38020000.0,38080000.0
2011-06-20,38030000.0,38090000.0
2011-06-21,38070000.0,38130000.0
2011-06-22,38100000.0,38160000.0
2011-06-23,38050000.0,38120000.0
2011-06-24,37820000.0,37890000.0
2011-06-25,37610000.0,37690000.0
2011-06-27,37660000.0,37730000.0
2011-06-28,37630000.0,37690000.0
2011-06-29,37730000.0,37790000.0
2011-06-30,37750000.0,37810000.0
2011-07-01,37570000.0,37650000.0
2011-07-02,37580000.0,37640000.0
2011-07-04,37560000.0,37620000.0
2011-07-05,37540000.0,37600000.0
2011-07-06,37680000.0,37740000.0
2011-07-07,37780000.0,37840000.0
2011-07-08,37760000.0,37820000.0
2011-07-09,37920000.0,37980000.0
2011-07-11,38020000.0,38080000.0
2011-07-12,38080000.0,38150000.0
2011-07-13,38580000.0,38650000.0
2011-07-14,38960000.0,39030000.0
2011-07-15,38850000.0,38920000.0
2011-07-16,39040000.0,39100000.0
2011-07-18,39360000.0,39420000.0
2011-07-19,39570000.0,39640000.0
2011-07-20,39200000.0,39270000.0
2011-07-21,39460000.0,39530000.0
2011-07-22,39260000.0,39320000.0
2011-07-23,39420000.0,39490000.0
2011-07-25,39840000.0,39900000.0
2011-07-26,39750000.0,39810000.0
2011-07-27,39980000.0,40050000.0
2011-07-28,39910000.0,39970000.0
2011-07-29,39940000.0,40000000.0
2011-07-30,40060000.0,40160000.0
2011-08-01,39860000.0,39920000.0
2011-08-02,40070000.0,40130000.0
2011-08-03,41100000.0,41200000.0
2011-08-04,41270000.0,41350000.0
2011-08-05,41430000.0,41500000.0
2011-08-06,41700000.0,41800000.0
2011-08-08,43600000.0,44100000.0
2011-08-09,45000000.0,45600000.0
2011-08-10,43900000.0,44400000.0
2011-08-11,45000000.0,45500000.0
2011-08-12,44500000.0,44750000.0
2011-08-13,44250000.0,44550000.0
2011-08-15,44000000.0,44150000.0
2011-08-16,44800000.0,45000000.0
2011-08-17,45300000.0,45500000.0
2011-08-18,45350000.0,45550000.0
2011-08-19,47000000.0,47250000.0
2011-08-20,46800000.0,47150000.0
2011-08-22,48150000.0,48350000.0
2011-08-23,48150000.0,48450000.0
2011-08-24,47250000.0,47450000.0
2011-08-25,44400000.0,44800000.0
2011-08-26,46450000.0,46950000.0
2011-08-27,47500000.0,47800000.0
2011-08-29,46650000.0,46950000.0
2011-08-30,45900000.0,46200000.0
2011-08-31,46630000.0,46930000.0
2011-09-01,46350000.0,46650000.0
2011-09-03,47800000.0,48100000.0
2011-09-05,47700000.0,47900000.0
2011-09-06,47600000.0,47900000.0
2011-09-07,46930000.0,47230000.0
2011-09-08,46850000.0,47150000.0
2011-09-09,47450000.0,47650000.0
2011-09-10,47300000.0,47500000.0
2011-09-12,47250000.0,47450000.0
2011-09-13,46920000.0,47120000.0
2011-09-14,47100000.0,47300000.0
2011-09-15,47000000.0,47200000.0
2011-09-16,46450000.0,46650000.0
2011-09-17,47050000.0,47250000.0
2011-09-19,46750000.0,47050000.0
2011-09-20,46800000.0,46950000.0
2011-09-21,47020000.0,47100000.0
2011-09-22,46650000.0,46800000.0
2011-09-23,46450000.0,46650000.0
2011-09-24,45350000.0,45750000.0
2011-09-26,44800000.0,45500000.0
2011-09-27,45250000.0,45650000.0
2011-09-28,44300000.0,44700000.0
2011-09-29,43900000.0,44200000.0
2011-09-30,44000000.0,44200000.0
2011-10-01,44050000.0,44250000.0
2011-10-03,44380000.0,44530000.0
2011-10-04,45000000.0,45200000.0
