date,usd_vnd_rate,interest_rate_state,interest_rate_market,interest_rate_spread,dxy_index,fed_rate,World_Price_USD_Ounce,World_Price_VND,Domestic_Premium
2025-01-25,25060.0,4.92,5.32,0.40000000000000036,107.33999633789062,4.5,2737.5,82709699.8875,6090300.112499997
2025-01-26,25060.0,4.92,5.32,0.40000000000000036,107.33999633789062,4.5,2737.5,82709699.8875,
2025-01-27,25060.0,4.92,5.32,0.40000000000000036,107.33999633789062,4.5,2737.5,82709699.8875,
2025-01-28,25060.0,4.92,5.32,0.40000000000000036,107.87000274658203,4.5,2766.800048828125,83594959.52047291,
2025-01-29,25060.0,4.92,5.32,0.40000000000000036,108.0,4.5,2769.10009765625,83664452.25044581,
2025-01-30,25060.0,4.92,5.32,0.40000000000000036,107.80000305175781,4.5,2823.0,85292961.74700001,
2025-01-31,25060.0,4.92,5.32,0.40000000000000036,108.37000274658203,4.5,2812.5,84975719.06250001,
2025-02-01,25060.0,4.92,5.32,0.40000000000000036,108.37000274658203,4.5,2812.5,84975719.06250001,3824280.937499985
2025-02-02,25060.0,4.92,5.32,0.40000000000000036,108.37000274658203,4.5,2812.5,84975719.06250001,
2025-02-03,25060.0,4.92,5.32,0.40000000000000036,108.98999786376953,4.5,2833.89990234375,85622286.91655421,3177713.0834457874
2025-02-04,25280.0,4.92,5.32,0.40000000000000036,107.95999908447266,4.5,2853.300048828125,86965252.83382423,3334747.166175768
2025-02-05,25280.0,4.92,5.32,0.40000000000000036,107.58000183105469,4.5,2871.60009765625,87523016.94764845,3476983.0523515493
2025-02-06,25145.0,4.92,5.32,0.40000000000000036,107.69000244140625,4.5,2856.0,86582693.77800001,4617306.221999988
2025-02-07,25260.0,4.92,5.32,0.40000000000000036,108.04000091552734,4.5,2867.300048828125,87322817.27574684,2677182.7242531627
2025-02-08,25260.0,4.92,5.32,0.40000000000000036,108.04000091552734,4.5,2867.300048828125,87322817.27574684,
2025-02-09,25260.0,4.92,5.32,0.40000000000000036,108.04000091552734,4.5,2867.300048828125,87322817.27574684,
2025-02-10,25290.0,4.92,5.32,0.40000000000000036,108.31999969482422,4.5,2914.300048828125,88859597.84436293,1440402.1556370705
2025-02-11,25380.0,4.92,5.32,0.40000000000000036,107.95999908447266,4.5,2912.5,89120743.7625,3679256.237499997
2025-02-12,25530.0,4.92,5.32,0.40000000000000036,107.94000244140625,4.5,2909.0,89539731.25050001,660268.7494999915
2025-02-13,25550.0,4.92,5.32,0.40000000000000036,107.30999755859375,4.5,2925.89990234375,90130466.60101198,269533.3989880234
2025-02-14,25440.0,4.92,5.32,0.40000000000000036,106.56999969482422,4.5,2883.60009765625,88445020.92488673,2854979.0751132667
2025-02-15,25440.0,4.92,5.32,0.40000000000000036,106.56999969482422,4.5,2883.60009765625,88445020.92488673,1854979.0751132667
2025-02-16,25440.0,4.92,5.32,0.40000000000000036,106.56999969482422,4.5,2883.60009765625,88445020.92488673,
2025-02-17,25370.0,4.92,5.32,0.40000000000000036,106.56999969482422,4.5,2883.60009765625,88201658.05284497,2098341.9471550286
2025-02-18,25470.0,4.92,5.32,0.40000000000000036,107.05000305175781,4.5,2931.60009765625,90023298.7626189,776701.2373811007
2025-02-19,25500.0,4.92,5.32,0.40000000000000036,107.16999816894531,4.5,2919.39990234375,89754249.55264893,1945750.4473510683
2025-02-20,25515.0,4.92,5.32,0.40000000000000036,106.33999633789062,4.5,2940.0,90440749.665,1659250.3349999934
2025-02-21,25500.0,4.92,5.32,0.40000000000000036,106.61000061035156,4.5,2937.60009765625,90313797.72235109,1686202.2776489109
2025-02-22,25500.0,4.92,5.32,0.40000000000000036,106.61000061035156,4.5,2937.60009765625,90313797.72235109,1386202.2776489109
2025-02-23,25500.0,4.92,5.32,0.40000000000000036,106.61000061035156,4.5,2937.60009765625,90313797.72235109,
2025-02-24,25510.0,4.92,5.32,0.40000000000000036,106.5999984741211,4.5,2947.89990234375,90665997.04532154,834002.954678461
2025-02-25,25468.0,4.92,5.32,0.40000000000000036,106.30999755859375,4.5,2904.5,89184107.90390001,3115892.0960999876
2025-02-26,25520.0,4.92,5.32,0.40000000000000036,106.41999816894531,4.5,2916.800048828125,89744652.26075293,1955347.7392470688
2025-02-27,25535.0,4.92,5.32,0.40000000000000036,107.23999786376953,4.5,2883.199951171875,88762980.08956404,2737019.9104359597
2025-02-28,25520.0,4.92,5.32,0.40000000000000036,107.61000061035156,4.5,2836.800048828125,87283197.22075294,3616802.7792470604
2025-03-01,25520.0,4.92,5.32,0.40000000000000036,107.61000061035156,4.5,2836.800048828125,87283197.22075294,3016802.7792470604
2025-03-02,25520.0,4.92,5.32,0.40000000000000036,107.61000061035156,4.5,2836.800048828125,87283197.22075294,
2025-03-03,25530.0,4.92,5.32,0.40000000000000036,106.75,4.5,2890.199951171875,88961061.15095839,2038938.849041611
2025-03-04,25575.0,4.92,5.32,0.40000000000000036,105.73999786376953,4.5,2909.60009765625,89716060.57418153,1883939.425818473
2025-03-05,25540.0,4.92,5.32,0.40000000000000036,105.73999786376953,4.5,2915.300048828125,89768796.60883033,
2025-03-06,25490.0,4.92,5.32,0.40000000000000036,104.05999755859375,4.5,2916.60009765625,89633008.1582737,3366991.841726303
2025-03-07,25485.0,4.92,5.32,0.40000000000000036,103.83999633789062,4.5,2904.699951171875,89249782.37888251,3650217.6211174875
2025-03-08,25485.0,4.92,5.32,0.40000000000000036,103.83999633789062,4.5,2904.699951171875,89249782.37888251,3650217.6211174875
2025-03-09,25485.0,4.92,5.32,0.40000000000000036,103.83999633789062,4.5,2904.699951171875,89249782.37888251,
2025-03-10,25480.0,4.92,5.32,0.40000000000000036,103.91000366210938,4.5,2891.0,88811410.142,4288589.857999995
2025-03-11,25525.0,4.92,5.32,0.40000000000000036,103.44000244140625,4.5,2912.89990234375,89642211.50933045,2957788.4906695485
2025-03-12,25450.0,4.92,5.32,0.40000000000000036,103.61000061035156,4.5,2939.10009765625,90182737.53321412,3117262.466785878
2025-03-13,25445.0,4.92,5.32,0.40000000000000036,103.83000183105469,4.5,2984.300048828125,91551653.34921272,2648346.650787279
2025-03-14,25490.0,4.92,5.32,0.40000000000000036,103.72000122070312,4.5,2994.5,92027029.39825001,3572970.6017499864
2025-03-15,25490.0,4.92,5.32,0.40000000000000036,103.72000122070312,4.5,2994.5,92027029.39825001,
2025-03-16,25490.0,4.92,5.32,0.40000000000000036,103.72000122070312,4.5,2994.5,92027029.39825001,
2025-03-17,25500.0,4.92,5.32,0.40000000000000036,103.37000274658203,4.5,3000.0,92232225.00000001,3867774.999999985
2025-03-18,25510.0,4.92,5.32,0.40000000000000036,103.23999786376953,4.5,3035.10009765625,93347937.71917847,3552062.280821532
2025-03-19,25510.0,4.92,5.32,0.40000000000000036,103.43000030517578,4.5,3035.89990234375,93372536.61732154,5227463.382678464
2025-03-20,25535.0,4.92,5.32,0.40000000000000036,103.8499984741211,4.5,3040.0,93590269.16000001,6809730.839999989
2025-03-21,25545.0,4.92,5.32,0.40000000000000036,104.08999633789062,4.5,3018.199951171875,92955515.83852534,4744484.16147466
2025-03-22,25545.0,4.92,5.32,0.40000000000000036,104.08999633789062,4.5,3018.199951171875,92955515.83852534,4744484.16147466
2025-03-23,25545.0,4.92,5.32,0.40000000000000036,104.08999633789062,4.5,3018.199951171875,92955515.83852534,4444484.16147466
2025-03-24,25585.0,4.92,5.32,0.40000000000000036,104.26000213623047,4.5,3013.10009765625,92943758.63613392,4456241.363866076
2025-03-25,25620.0,4.92,5.32,0.40000000000000036,104.18000030517578,4.5,3023.699951171875,93398320.93786012,4001679.0621398836
2025-03-26,25600.0,4.92,5.32,0.40000000000000036,104.55000305175781,4.5,3020.89990234375,93238987.961875,4961012.038124993
2025-03-27,25555.0,4.92,5.32,0.40000000000000036,104.06999969482422,4.5,3060.199951171875,94285940.96773665,4114059.0322633535
2025-03-28,25560.0,4.92,5.32,0.40000000000000036,104.04000091552734,4.5,3086.5,95114861.811,4785138.188999996
2025-03-29,25560.0,4.92,5.32,0.40000000000000036,104.04000091552734,4.5,3086.5,95114861.811,5585138.188999996
2025-03-30,25560.0,4.92,5.32,0.40000000000000036,104.04000091552734,4.5,3086.5,95114861.811,
2025-03-31,25550.0,4.92,5.32,0.40000000000000036,104.20999908447266,4.5,3122.800048828125,96195849.10511903,4504150.894880965
2025-04-01,25565.0,4.92,5.32,0.40000000000000036,104.26000213623047,4.5,3118.89990234375,96132112.12352088,5967887.876479119
