timestamp,gold_code,buy_price,sell_price
2025-03-22,XAUUSD,3018.199951171875,3018.199951171875
2025-03-23,SJCVIETNAM,94400000.0,97400000.0
2025-03-23,XAUUSD,3018.199951171875,3018.199951171875
2025-03-24,SJCVIETNAM,94400000.0,97400000.0
2025-03-24,XAUUSD,3013.10009765625,3013.10009765625
2025-03-25,SJCVIETNAM,94900000.0,97400000.0
2025-03-25,XAUUSD,3023.699951171875,3023.699951171875
2025-03-26,SJCVIETNAM,96500000.0,98200000.0
2025-03-26,XAUUSD,3020.89990234375,3020.89990234375
2025-03-27,SJCVIETNAM,96700000.0,98400000.0
2025-03-27,XAUUSD,3060.199951171875,3060.199951171875
2025-03-28,SJCVIETNAM,98200000.0,99900000.0
2025-03-28,XAUUSD,3086.5,3086.5
2025-03-29,SJCVIETNAM,98400000.0,100700000.0
2025-03-29,XAUUSD,3086.5,3086.5
2025-03-30,XAUUSD,3086.5,3086.5
2025-03-31,SJCVIETNAM,98700000.0,100700000.0
2025-03-31,XAUUSD,3122.800048828125,3122.800048828125
2025-04-01,SJCVIETNAM,99800000.0,102100000.0
2025-04-01,XAUUSD,3118.89990234375,3118.89990234375
2025-04-02,SJCVIETNAM,99100000.0,101800000.0
2025-04-02,XAUUSD,3139.89990234375,3139.89990234375
2025-04-03,SJCVIETNAM,99800000.0,102500000.0
2025-04-03,XAUUSD,3097.0,3097.0
2025-04-04,SJCVIETNAM,99400000.0,101900000.0
2025-04-04,XAUUSD,3012.0,3012.0
2025-04-05,SJCVIETNAM,97100000.0,100100000.0
2025-04-05,XAUUSD,3012.0,3012.0
2025-04-06,XAUUSD,3012.0,3012.0
2025-04-07,XAUUSD,2951.300048828125,2951.300048828125
2025-04-08,SJCVIETNAM,96500000.0,99500000.0
2025-04-08,XAUUSD,2968.39990234375,2968.39990234375
2025-04-09,SJCVIETNAM,97400000.0,99600000.0
2025-04-09,XAUUSD,3056.5,3056.5
2025-04-10,SJCVIETNAM,100400000.0,103400000.0
2025-04-10,XAUUSD,3155.199951171875,3155.199951171875
2025-04-11,SJCVIETNAM,103400000.0,106400000.0
2025-04-11,XAUUSD,3222.199951171875,3222.199951171875
2025-04-12,SJCVIETNAM,102900000.0,105900000.0
2025-04-12,XAUUSD,3222.199951171875,3222.199951171875
2025-04-13,XAUUSD,3222.199951171875,3222.199951171875
2025-04-14,SJCVIETNAM,104500000.0,107000000.0
2025-04-14,XAUUSD,3204.800048828125,3204.800048828125
2025-04-15,SJCVIETNAM,105200000.0,107700000.0
2025-04-15,XAUUSD,3218.699951171875,3218.699951171875
2025-04-16,SJCVIETNAM,106800000.0,109800000.0
2025-04-16,XAUUSD,3326.60009765625,3326.60009765625
2025-04-17,SJCVIETNAM,115500000.0,118000000.0
2025-04-17,XAUUSD,3308.699951171875,3308.699951171875
2025-04-18,SJCVIETNAM,117000000.0,120000000.0
2025-04-18,XAUUSD,3308.699951171875,3308.699951171875
2025-04-19,SJCVIETNAM,117000000.0,120000000.0
2025-04-19,XAUUSD,3308.699951171875,3308.699951171875
2025-04-20,XAUUSD,3308.699951171875,3308.699951171875
2025-04-21,SJCVIETNAM,112000000.0,114000000.0
2025-04-21,XAUUSD,3406.199951171875,3406.199951171875
2025-04-22,SJCVIETNAM,119000000.0,121000000.0
2025-04-22,XAUUSD,3400.800048828125,3400.800048828125
2025-04-23,SJCVIETNAM,122000000.0,124000000.0
2025-04-23,XAUUSD,3276.300048828125,3276.300048828125
2025-04-24,SJCVIETNAM,118500000.0,121500000.0
2025-04-24,XAUUSD,3332.0,3332.0
2025-04-25,SJCVIETNAM,119500000.0,121500000.0
2025-04-25,XAUUSD,3282.39990234375,3282.39990234375
2025-04-26,SJCVIETNAM,118500000.0,120500000.0
2025-04-26,XAUUSD,3282.39990234375,3282.39990234375
2025-04-27,XAUUSD,3282.39990234375,3282.39990234375
2025-04-28,SJCVIETNAM,118500000.0,120500000.0
2025-04-28,XAUUSD,3332.5,3332.5
2025-04-29,SJCVIETNAM,118800000.0,120800000.0
2025-04-29,XAUUSD,3318.800048828125,3318.800048828125
2025-04-30,XAUUSD,3305.0,3305.0
2025-05-01,SJCVIETNAM,119300000.0,121300000.0
2025-05-01,XAUUSD,3210.0,3210.0
2025-05-02,SJCVIETNAM,119300000.0,121300000.0
2025-05-02,XAUUSD,3231.89990234375,3231.89990234375
2025-05-03,XAUUSD,3231.89990234375,3231.89990234375
2025-05-04,XAUUSD,3231.89990234375,3231.89990234375
2025-05-05,SJCVIETNAM,117800000.0,119800000.0
2025-05-05,XAUUSD,3311.300048828125,3311.300048828125
2025-05-06,SJCVIETNAM,120800000.0,122800000.0
2025-05-06,XAUUSD,3411.39990234375,3411.39990234375
2025-05-07,SJCVIETNAM,120200000.0,122200000.0
2025-05-07,XAUUSD,3381.39990234375,3381.39990234375
2025-05-08,SJCVIETNAM,120700000.0,122700000.0
2025-05-08,XAUUSD,3296.60009765625,3296.60009765625
2025-05-09,SJCVIETNAM,118000000.0,120000000.0
2025-05-09,XAUUSD,3335.39990234375,3335.39990234375
2025-05-10,SJCVIETNAM,120000000.0,122000000.0
2025-05-10,XAUUSD,3335.39990234375,3335.39990234375
2025-05-11,XAUUSD,3335.39990234375,3335.39990234375
2025-05-12,SJCVIETNAM,119000000.0,121000000.0
2025-05-12,XAUUSD,3220.0,3220.0
2025-05-13,SJCVIETNAM,117500000.0,119500000.0
2025-05-13,XAUUSD,3240.300048828125,3240.300048828125
2025-05-14,SJCVIETNAM,118000000.0,120000000.0
2025-05-14,XAUUSD,3181.39990234375,3181.39990234375
2025-05-15,SJCVIETNAM,117400000.0,119400000.0
2025-05-15,XAUUSD,3220.699951171875,3220.699951171875
