datetime,fed_rate,fed_change_pct
2026-02-08 18:47:12.112,3.75,0
2026-02-08 19:00:02.879,3.75,0
2026-02-08 19:24:29.058,3.75,0
2026-02-08 20:12:53.467,3.75,0
2026-02-08 20:32:00.330,3.75,0
2026-02-08 21:11:37.019,3.75,0
2026-02-08 21:20:27.839,3.75,0
2026-02-08 22:00:48.625,3.75,0
2026-02-08 22:19:42.724,3.75,0
2026-02-08 22:47:14.478,3.75,0
2026-02-08 23:39:02.395,3.75,0
2026-02-09 00:10:52.336,3.75,0
2026-02-09 00:29:30.816,3.75,0
2026-02-09 01:09:12.329,3.75,0
2026-02-09 01:19:46.468,3.75,0
2026-02-09 01:48:16.721,3.75,0
2026-02-09 02:43:30.087,3.75,0
2026-02-09 02:57:47.445,3.75,0
2026-02-09 03:32:08.242,3.75,0
2026-02-09 04:09:16.379,3.75,0
2026-02-09 04:43:04.674,3.75,0
2026-02-09 04:59:43.756,3.75,0
2026-02-09 05:32:56.338,3.75,0
2026-02-09 06:09:26.992,3.75,0
2026-02-09 06:35:30.156,3.75,0
2026-02-09 06:51:05.491,3.75,0
2026-02-09 07:16:22.573,3.75,0
2026-02-09 07:56:56.342,3.75,0
2026-02-09 08:20:20.630,3.75,0
2026-02-09 09:15:32.476,3.75,0
2026-02-09 09:35:00.470,3.75,0
2026-02-09 09:49:48.389,3.75,0
2026-02-09 10:19:18.318,3.75,0
2026-02-09 11:03:43.596,3.75,0
2026-02-09 11:45:25.587,3.75,0
2026-02-09 12:15:24.301,3.75,0
2026-02-09 12:18:10.243,3.75,0
2026-02-09 13:03:56.134,3.75,0
2026-02-09 13:28:20.608,3.75,0
2026-02-09 14:10:41.746,3.75,0
2026-02-09 14:16:01.896,3.75,0
2026-02-09 15:11:25.960,3.75,0
2026-02-09 15:20:34.611,3.75,0
2026-02-09 16:15:28.484,3.75,0
2026-02-09 16:25:46.083,3.75,0
2026-02-09 16:58:54.578,3.75,0
2026-02-09 17:17:37.261,3.75,0
2026-02-09 17:55:59.805,3.75,0
2026-02-09 17:58:51.910,3.75,0
2026-02-09 18:34:01.810,3.75,0
2026-02-09 18:50:36.223,3.75,0
2026-02-09 19:32:40.484,3.75,0
2026-02-09 19:59:35.027,3.75,0
2026-02-09 20:30:16.111,3.75,0
2026-02-09 21:00:00.421,3.75,0
2026-02-09 21:33:44.755,3.75,0
2026-02-09 21:52:48.448,3.75,0
2026-02-09 22:17:05.072,3.75,0
2026-02-09 22:50:59.997,3.75,0
2026-02-09 23:35:26.774,3.75,0
2026-02-09 23:49:01.807,3.75,0
2026-02-10 00:34:56.176,3.75,0
2026-02-10 01:13:55.815,3.75,0
2026-02-10 01:35:54.494,3.75,0
2026-02-10 01:46:33.288,3.75,0
2026-02-10 02:21:09.084,3.75,0
2026-02-10 03:14:18.174,3.75,0
2026-02-10 03:29:41.862,3.75,0
2026-02-10 03:57:51.094,3.75,0
2026-02-10 04:20:19.232,3.75,0
2026-02-10 05:13:56.736,3.75,0
2026-02-10 05:39:23.686,3.75,0
2026-02-10 06:07:43.373,3.75,0
2026-02-10 06:31:04.808,3.75,0
2026-02-10 07:15:19.796,3.75,0
2026-02-10 07:25:34.286,3.75,0
2026-02-10 08:06:58.741,3.75,0
2026-02-10 08:37:01.685,3.75,0
2026-02-10 09:12:37.164,3.75,0
2026-02-10 09:37:52.293,3.75,0
2026-02-10 10:05:08.155,3.75,0
2026-02-10 10:35:23.094,3.75,0
2026-02-10 10:51:23.837,3.75,0
2026-02-10 11:09:38.692,3.75,0
2026-02-10 11:37:43.423,3.75,0
2026-02-10 12:03:59.146,3.75,0
2026-02-10 12:21:45.294,3.75,0
2026-02-10 13:14:38.153,3.75,0
2026-02-10 13:27:00.097,3.75,0
2026-02-10 14:07:28.595,3.75,0
2026-02-10 14:24:30.070,3.75,0
2026-02-10 14:46:21.090,3.75,0
2026-02-10 15:18:39.323,3.75,0
2026-02-10 16:11:00.523,3.75,0
2026-02-10 16:28:36.416,3.75,0
2026-02-10 17:14:31.544,3.75,0
2026-02-10 17:25:33.391,3.75,0
2026-02-10 17:46:21.283,3.75,0
2026-02-10 18:19:16.732,3.75,0
2026-02-10 19:00:21.349,3.75,0
2026-02-10 19:41:29.997,3.75,0
2026-02-10 20:15:55.007,3.75,0
2026-02-10 20:43:43.793,3.75,0
2026-02-10 21:15:47.726,3.75,0
2026-02-10 21:31:26.516,3.75,0
2026-02-10 21:53:46.409,3.75,0
2026-02-10 22:33:42.809,3.75,0
2026-02-10 23:08:17.697,3.75,0
