datetime,usd_vnd_rate,usd_change_pct
2026-02-07 22:59:10.930,25918.26,-0.133857
2026-02-07 23:32:01.644,25918.26,0.0
2026-02-08 00:08:02.810,25918.26,0.0
2026-02-08 00:23:57.103,25918.26,0.0
2026-02-08 00:49:18.915,25918.26,0.0
2026-02-08 01:17:11.918,25918.26,0.0
2026-02-08 01:50:34.501,25918.26,0.0
2026-02-08 02:38:11.539,25918.26,0.0
2026-02-08 02:46:45.670,25918.26,0.0
2026-02-08 03:19:21.720,25918.26,0.0
2026-02-08 04:09:48.519,25918.26,0.0
2026-02-08 04:44:11.342,25918.26,0.0
2026-02-08 04:50:17.089,25918.26,0.0
2026-02-08 05:35:07.727,25918.26,0.0
2026-02-08 05:46:09.928,25918.26,0.0
2026-02-08 06:37:06.362,25918.26,0.0
2026-02-08 06:50:10.356,25918.26,0.0
2026-02-08 07:33:28.748,25918.26,0.0
2026-02-08 07:59:00.987,25902.61,-0.060382
2026-02-08 08:37:42.059,25902.61,0.0
2026-02-08 08:58:01.299,25902.61,0.0
2026-02-08 09:16:37.301,25902.61,0.0
2026-02-08 10:05:59.482,25902.61,0.0
2026-02-08 10:21:26.173,25902.61,0.0
2026-02-08 10:52:59.634,25902.61,0.0
2026-02-08 11:42:51.576,25902.61,0.0
2026-02-08 12:01:05.433,25902.61,0.0
2026-02-08 12:26:31.685,25902.61,0.0
2026-02-08 13:07:49.908,25902.61,0.0
2026-02-08 13:42:30.133,25902.61,0.0
2026-02-08 14:06:13.848,25902.61,0.0
2026-02-08 14:34:57.762,25902.61,0.0
2026-02-08 15:03:35.505,25902.61,0.0
2026-02-08 15:42:04.983,25902.61,0.0
2026-02-08 16:05:42.807,25902.61,0.0
2026-02-08 16:26:08.123,25902.61,0.0
2026-02-08 16:59:05.889,25902.61,0.0
2026-02-08 17:29:06.300,25902.61,0.0
2026-02-08 19:05:58.266,25902.61,0.0
2026-02-08 19:44:43.744,25902.61,0.0
2026-02-08 19:46:51.659,25902.61,0.0
2026-02-08 20:39:12.971,25902.61,0.0
2026-02-08 21:02:25.821,25902.61,0.0
2026-02-08 21:35:43.358,25902.61,0.0
2026-02-08 22:14:16.539,25902.61,0.0
2026-02-08 22:40:45.886,25902.61,0.0
2026-02-08 23:14:23.310,25902.61,0.0
2026-02-08 23:20:13.724,25902.61,0.0
2026-02-09 00:07:37.905,25902.61,0.0
2026-02-09 00:30:06.118,25902.61,0.0
2026-02-09 00:48:02.669,25902.61,0.0
2026-02-09 01:27:46.272,25902.61,0.0
2026-02-09 02:15:10.155,25902.61,0.0
2026-02-09 02:32:40.492,25902.61,0.0
2026-02-09 02:56:52.178,25902.61,0.0
